# name N_para N_water V[A^3] V_error[A^3] c_para[1/A^3] c_para_error
box16-43-100-4x4x4-80C 2752 6400 3.99081526e+05 2.79245865e+01 0.00689583 9.65032e-07
box17-30-100-4x4x4-80C 1920 6400 3.36780475e+05 2.45438918e+01 0.00570104 8.30961e-07
box20-72-100-4x4x4-80C 4608 6400 5.38153939e+05 3.59788564e+01 0.00856261 1.14492e-06
box22-135-100-3x3x3-80C 3645 2700 3.54432630e+05 2.80237163e+01 0.010284 1.62624e-06
box22-135-100-4x4x4-80C 8640 6400 8.40261545e+05 6.16279648e+01 0.0102825 1.50832e-06
box24-188-100-3x3x3-80C 5076 2700 4.61687009e+05 3.78017908e+01 0.0109945 1.8004e-06
box24-188-100-4x4x4-80C 12032 6400 1.09419686e+06 5.87711955e+01 0.0109962 1.18125e-06
box24-90-100-4x4x4-80C 5760 6400 6.24361705e+05 4.73870310e+01 0.00922542 1.40036e-06
box28-268-100-3x3x3-80C 7236 2700 6.23516643e+05 5.14718431e+01 0.0116051 1.91603e-06
box28-302-80-3x3x3-80C 8154 2160 6.76107840e+05 5.31732699e+01 0.0120602 1.89698e-06
box30-10-2x2x2-80C 80 6480 2.01115426e+05 1.28144035e+01 0.000397782 5.06906e-08
box30-10-3x3x3-80C 270 21870 6.78680306e+05 4.93271416e+01 0.000397831 5.78295e-08
box30-15-2x2x2-80C 120 6360 2.00504425e+05 1.45665158e+01 0.000598491 8.69599e-08
box30-20-2x2x2-80C 160 6064 1.94590807e+05 1.53836124e+01 0.000822238 1.30006e-07
box30-20-3x3x3-80C 540 20466 6.56899517e+05 5.51934667e+01 0.000822044 1.38138e-07
box30-30-2x2x2-80C 240 5656 1.88368030e+05 1.32843859e+01 0.0012741 1.79708e-07
box30-40-2x2x2-80C 320 5144 1.78973177e+05 1.33528984e+01 0.00178798 2.66796e-07
box30-40-3x3x3-80C 1080 17361 6.03974736e+05 4.76063867e+01 0.00178815 2.81891e-07
box30-50-2x2x2-80C 400 4912 1.77980243e+05 1.32688336e+01 0.00224744 3.35104e-07
box30-60-2x2x2-80C 480 4392 1.68357682e+05 1.21384821e+01 0.00285107 4.11121e-07
box30-60-3x3x3-80C 1620 14823 5.68202520e+05 4.71383609e+01 0.0028511 4.73057e-07
box30-70-2x2x2-80C 560 3696 1.53362937e+05 1.09112850e+01 0.00365147 5.19581e-07
box30-80-2x2x2-80C 640 3360 1.49235418e+05 1.09660418e+01 0.00428853 6.30255e-07
box30-80-3x3x3-80C 2160 11340 5.03601486e+05 3.03768351e+01 0.00428911 5.17431e-07
box34-401-400-3x3x3-80C 10827 10800 1.13657772e+06 1.07393476e+02 0.00952597 1.80019e-06
box35-100-2x2x2-80C 800 6448 2.54263814e+05 1.59798445e+01 0.00314634 3.95479e-07
box35-100-3x3x3-80C 2700 21762 8.58238850e+05 5.84689835e+01 0.00314598 4.2865e-07
box35-110-2x2x2-80C 880 6048 2.48250809e+05 1.72690863e+01 0.0035448 4.93175e-07
box35-120-2x2x2-80C 960 5552 2.39260056e+05 1.59510509e+01 0.00401237 5.34996e-07
box35-120-3x3x3-80C 3240 18738 8.07705561e+05 5.45636305e+01 0.00401136 5.41966e-07
box35-135-2x2x2-80C 1080 4968 2.30661448e+05 1.64990083e+01 0.00468219 6.69825e-07
box35-135-3x3x3-80C 3645 16767 7.78517273e+05 5.96912188e+01 0.00468198 7.17962e-07
box35-90-2x2x2-80C 720 7096 2.67783425e+05 1.84085592e+01 0.00268874 3.69671e-07
box36-607-80-3x3x3-80C 16389 2160 1.29332402e+06 9.37776834e+01 0.012672 1.83767e-06
box50-10-1x1x1-80C 10 3907 1.18612598e+05 2.51335231e+02 8.43081e-05 3.57292e-07
box50-10-2x2x2-80C 80 31256 9.46822673e+05 7.74257289e+01 8.44931e-05 1.38187e-08
box50-1-1x1x1-80C 1 3957 1.19448993e+05 2.58935682e+02 8.37177e-06 3.6296e-08
box50-1-2x2x2-80C 8 31656 9.53381480e+05 7.28453224e+01 8.39118e-06 1.2823e-09
