# name N_para N_water V[A^3] V_error[A^3] c_para[1/A^3] c_para_error
box16-43-100-4x4x4-60C 2752 6400 3.93211576e+05 2.62469825e+01 0.00699878 9.34341e-07
box17-30-100-4x4x4-60C 1920 6400 3.31641139e+05 2.45019048e+01 0.00578939 8.55449e-07
box20-72-100-4x4x4-60C 4608 6400 5.30690399e+05 4.26171584e+01 0.00868303 1.39458e-06
box22-135-100-3x3x3-60C 3645 2700 3.49852458e+05 2.67134506e+01 0.0104187 1.59106e-06
box22-135-100-4x4x4-60C 8640 6400 8.29282655e+05 6.46662627e+01 0.0104186 1.62486e-06
box24-188-100-3x3x3-60C 5076 2700 4.55787513e+05 3.46024374e+01 0.0111368 1.69096e-06
box24-188-100-4x4x4-60C 12032 6400 1.08044770e+06 8.90954726e+01 0.0111361 1.83661e-06
box24-90-100-4x4x4-60C 5760 6400 6.15880732e+05 5.32563868e+01 0.00935246 1.61745e-06
box28-268-100-3x3x3-60C 7236 2700 6.15737954e+05 5.41464932e+01 0.0117518 2.06684e-06
box28-302-80-3x3x3-60C 8154 2160 6.67875770e+05 7.60517016e+01 0.0122089 2.78047e-06
box30-10-2x2x2-60C 80 6480 1.97588318e+05 1.35469135e+01 0.000404882 5.55185e-08
box30-10-3x3x3-60C 270 21870 6.66701634e+05 4.54104617e+01 0.000404979 5.51679e-08
box30-15-2x2x2-60C 120 6360 1.96967408e+05 1.42351734e+01 0.000609238 8.80613e-08
box30-20-2x2x2-60C 160 6064 1.91202280e+05 1.28997767e+01 0.00083681 1.12914e-07
box30-20-3x3x3-60C 540 20466 6.45252468e+05 4.55279333e+01 0.000836882 1.18098e-07
box30-30-2x2x2-60C 240 5656 1.85083848e+05 1.16740608e+01 0.00129671 1.63578e-07
box30-40-2x2x2-60C 320 5144 1.75902195e+05 1.18786463e+01 0.00181919 2.457e-07
box30-40-3x3x3-60C 1080 17361 5.93766352e+05 4.74062463e+01 0.0018189 2.90441e-07
box30-50-2x2x2-60C 400 4912 1.74966890e+05 1.11500807e+01 0.00228615 2.91378e-07
box30-60-2x2x2-60C 480 4392 1.65515666e+05 1.20357125e+01 0.00290003 4.21759e-07
box30-60-3x3x3-60C 1620 14823 5.58623346e+05 4.31767990e+01 0.00289999 4.48288e-07
box30-70-2x2x2-60C 560 3696 1.50880987e+05 1.05806170e+01 0.00371153 5.20547e-07
box30-80-2x2x2-60C 640 3360 1.46836691e+05 9.85552132e+00 0.00435858 5.85087e-07
box30-80-3x3x3-60C 2160 11340 4.95624655e+05 3.40782148e+01 0.00435814 5.99314e-07
box34-401-400-3x3x3-60C 10827 10800 1.12139005e+06 8.74361253e+01 0.00965498 1.50562e-06
box35-100-2x2x2-60C 800 6448 2.50106189e+05 1.54863095e+01 0.00319864 3.96113e-07
box35-100-3x3x3-60C 2700 21762 8.44036332e+05 5.33958536e+01 0.00319891 4.04743e-07
box35-110-2x2x2-60C 880 6048 2.44209000e+05 1.43010514e+01 0.00360347 4.22044e-07
box35-120-2x2x2-60C 960 5552 2.35451816e+05 1.61310944e+01 0.00407727 5.58677e-07
box35-120-3x3x3-60C 3240 18738 7.94625657e+05 6.52818568e+01 0.00407739 6.6995e-07
box35-135-2x2x2-60C 1080 4968 2.27032093e+05 1.54166408e+01 0.00475704 6.46054e-07
box35-135-3x3x3-60C 3645 16767 7.66321202e+05 5.31146233e+01 0.00475649 6.59356e-07
box35-90-2x2x2-60C 720 7096 2.63345991e+05 1.93534751e+01 0.00273405 4.01854e-07
box36-607-80-3x3x3-60C 16389 2160 1.27787341e+06 1.19295483e+02 0.0128252 2.39459e-06
box50-10-1x1x1-60C 10 3907 1.16515762e+05 2.60607691e+02 8.58253e-05 3.83928e-07
box50-10-2x2x2-60C 80 31256 9.29940501e+05 6.09431220e+01 8.6027e-05 1.12755e-08
box50-1-1x1x1-60C 1 3957 1.17342790e+05 2.62240567e+02 8.52204e-06 3.80907e-08
box50-1-2x2x2-60C 8 31656 9.36441776e+05 1.13643272e+02 8.54298e-06 2.07349e-09
