# name N_para N_water V[A^3] V_error[A^3] c_para[1/A^3] c_para_error
box16-43-100-4x4x4-40C 2752 6400 3.87754468e+05 2.59666691e+01 0.00709727 9.50563e-07
box17-30-100-4x4x4-40C 1920 6400 3.26865938e+05 2.11777733e+01 0.00587397 7.61153e-07
box20-72-100-4x4x4-40C 4608 6400 5.23508895e+05 3.54465300e+01 0.00880214 1.19198e-06
box22-135-100-3x3x3-40C 3645 2700 3.45356943e+05 2.51877019e+01 0.0105543 1.5395e-06
box22-135-100-4x4x4-40C 8640 6400 8.18694711e+05 5.52571954e+01 0.0105534 1.42459e-06
box24-188-100-3x3x3-40C 5076 2700 4.50107747e+05 3.92075532e+01 0.0112773 1.96466e-06
box24-188-100-4x4x4-40C 12032 6400 1.06694200e+06 7.53045884e+01 0.0112771 1.59187e-06
box24-90-100-4x4x4-40C 5760 6400 6.07896413e+05 4.83248098e+01 0.0094753 1.50648e-06
box28-268-100-3x3x3-40C 7236 2700 6.08402509e+05 5.32150001e+01 0.0118934 2.08056e-06
box28-302-80-3x3x3-40C 8154 2160 6.59766021e+05 5.17602621e+01 0.0123589 1.93918e-06
box30-10-2x2x2-40C 80 6480 1.94405910e+05 1.13102595e+01 0.00041151 4.78821e-08
box30-10-3x3x3-40C 270 21870 6.56160720e+05 4.43473960e+01 0.000411485 5.56213e-08
box30-15-2x2x2-40C 120 6360 1.93859866e+05 1.35864330e+01 0.000619004 8.67643e-08
box30-20-2x2x2-40C 160 6064 1.88161931e+05 1.36039587e+01 0.000850331 1.22957e-07
box30-20-3x3x3-40C 540 20466 6.35149051e+05 4.62752580e+01 0.000850194 1.23886e-07
box30-30-2x2x2-40C 240 5656 1.82178135e+05 1.20163963e+01 0.00131739 1.73789e-07
box30-40-2x2x2-40C 320 5144 1.73140939e+05 1.15751754e+01 0.00184821 2.4712e-07
box30-40-3x3x3-40C 1080 17361 5.84397984e+05 4.09157708e+01 0.00184806 2.58778e-07
box30-50-2x2x2-40C 400 4912 1.72264088e+05 1.17305786e+01 0.00232202 3.16242e-07
box30-60-2x2x2-40C 480 4392 1.62978473e+05 1.13746299e+01 0.00294517 4.11101e-07
box30-60-3x3x3-40C 1620 14823 5.50144619e+05 3.94500426e+01 0.00294468 4.22317e-07
box30-70-2x2x2-40C 560 3696 1.48591759e+05 9.66772757e+00 0.00376872 4.90403e-07
box30-80-2x2x2-40C 640 3360 1.44673037e+05 9.66655716e+00 0.00442377 5.91162e-07
box30-80-3x3x3-40C 2160 11340 4.88269881e+05 2.72579577e+01 0.00442378 4.93921e-07
box34-401-400-3x3x3-40C 10827 10800 1.10680717e+06 1.05295556e+02 0.00978219 1.86125e-06
box35-100-2x2x2-40C 800 6448 2.46277710e+05 1.67992463e+01 0.00324837 4.43159e-07
box35-100-3x3x3-40C 2700 21762 8.31205203e+05 4.81482346e+01 0.0032483 3.7632e-07
box35-110-2x2x2-40C 880 6048 2.40482265e+05 1.43973492e+01 0.00365931 4.38156e-07
box35-120-2x2x2-40C 960 5552 2.31904383e+05 1.56239088e+01 0.00413964 5.57793e-07
box35-120-3x3x3-40C 3240 18738 7.82684692e+05 5.13015279e+01 0.0041396 5.42665e-07
box35-135-2x2x2-40C 1080 4968 2.23710279e+05 1.54053348e+01 0.00482767 6.64895e-07
box35-135-3x3x3-40C 3645 16767 7.55087383e+05 5.01193887e+01 0.00482726 6.40824e-07
box35-90-2x2x2-40C 720 7096 2.59285212e+05 1.56731525e+01 0.00277686 3.35709e-07
box36-607-80-3x3x3-40C 16389 2160 1.26283270e+06 6.36266600e+01 0.012978 1.30777e-06
box50-10-1x1x1-40C 10 3907 1.14399297e+05 8.48224427e+00 8.74131e-05 1.29627e-08
box50-10-2x2x2-40C 80 31256 9.15083618e+05 7.12473948e+01 8.74237e-05 1.36134e-08
box50-1-1x1x1-40C 1 3957 1.15205223e+05 7.87300656e+00 8.68016e-06 1.18639e-09
box50-1-2x2x2-40C 8 31656 9.21635364e+05 7.56607246e+01 8.68022e-06 1.42519e-09
